1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLAP_1_PERCNT, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLAP_1_SPEED, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLAP_2_PERCNT, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLAP_2_SPEED, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RTL_AUTOLAND, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : CRASH_ACC_THRESH, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : CRASH_DETECT, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO1_GND_PRESS, Value : 99180.0859375, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO_GND_TEMP, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO_ALT_OFFSET, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO_PRIMARY, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO_EXT_BUS, Value : -1.0, Default : -1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO2_GND_PRESS, Value : 99179.4453125, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO3_GND_PRESS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO_FLTR_RNG, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO_PROBE_EXT, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO1_DEVID, Value : 65540.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO2_DEVID, Value : 65796.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : BARO3_DEVID, Value : 0.0, Default : 0.0}
